text,label,label_name
"hello, i am writing to delete the following information on my credit report. the following items are listed in the report. i am a victim of identity theft. the charges made on the account were not mine. the items need to be deleted as they are inaccurate items on my credit report. the theft of my identity was reported to the federal trade commission. also, i have an enclosed copy of the federal trade commission identity theft affidavit. please find it in your best interest to delete the items i would like to emphasize the following legal obligations under the fcra : under 1681b, a consumer reporting agency may furnish a consumer report only under specific circumstances, including "" in response to the order of a court having jurisdiction to issue such an order, or a subpoena issued in connection with proceedings before a federal grand jury. '' this provision strictly limits when my consumer report can be furnished, and i do not believe any of these circumstances apply in this case. under 15 u.s.c. 1681i ( a ) ( 1 ) ( a ), credit bureaus must conduct a "" reasonable reinvestigation '' upon receiving notice of a consumer dispute. i am formally notifying you of this dispute, and i expect a thorough and reasonable reinvestigation of all items i've identified. 15 u.s. code 1681b outlines the permissible purposes of consumer reports, including conditions for furnishing and using consumer reports for employment purposes. i do not believe any of these permissible purposes apply to the disputed items on my report. 15 u.s. code $ 1681c-2 a consumer reporting agency shall block the reporting of any. information in the file of a consumer that the consumer identifies as information that resulted from an alleged identity theft, not later than 4 business days after the date of receipt. 15 u.s. code 1681 section b ( i ) - requirements relating to reinsertion of previously deleted material - if a consumer reporting agency removes information from someone's credit file based on the requirements in the preceding section ( a ), the agency can not readd or reinsert that previously deleted information back into the person 's file unless the entity that originally provided that information certifies that it is complete and accurate.",2,Credit Reporting
i have debt collection agency trying to collect a debit from //. i was and did not get my first credit card until //. it would have been very easy for a doormate or anyone else to get this info. i didnt keep it hidden i didnt think i needed to. now they are trying to bill me for over that i never had the chance to use,3,Debt collection
"afternoon, i was placed on a program due to my income probably about 8 months ago. i also had to submit information like my bank statements and work statement information. i was then requested again in to do the same thing. my account was also in delinquency and i was told once i get on this program and make payment my account would no longer be deliquient and it would show up as paid on my credit report. a couple of days ago i received a call saying that my accounts were delinquent and this is after i made the required payments. i also received a call stating i was denied from the program today. this is a total crock of stuff after all of the on time payments i made i am still being penalized and delinquent this is not a good business practice at all. i would like to resolve this situation or go into default or be transferred to a different servicers because this is ridiculous and very unprofessional. i spoke with when she told me i was denied. i am also on a income rebased payment with the federal government and i have loads of student loans there so i dont understand the denial either since the has my tax returns.",8,Student loan
"i am filing this complaint regarding chimes handling of my unauthorized transaction dispute. on //year> and //year>, transactions totaling {$1100.00} were processed on my account by a merchant identified as . on //year>, i received a fraud alert from chime for {$140.00}. i immediately responded to the alert and contacted chime the same day to report the transactions as unauthorized. i disputed the transactions immediately and provided documentation, including correspondence from the merchant stating that no account exists under my information. despite reporting the fraud promptly and submitting supporting evidence, chime denied my claim on //year>, stating that no error occurred. these transactions were not authorized by me. i complied with all reporting requirements and responded immediately to the fraud alert. i am requesting that chime : conduct a proper reinvestigation under regulation e provide documentation supporting their denial reimburse the unauthorized transactions i believe chime has failed to properly apply federal consumer protection laws governing unauthorized electronic fund transfers. i am requesting assistance in resolving this matter.",0,Bank Account
"i am filing a complaint against cash app ( block , inc. ) dur to inadequate customer service and unfair practices, which violate the consumer financial protection act ( cfpa ). specifically, cash app failed to take timely and effective measures to prevent and address fraud in their platform, leaving my account vulnerable and unprotected. furthermore, their dispute resolution process was unfair snd deceptive, as they did not comply with error resolution requirements under the electronic. fund transfer act ( efta ) and regulation e. these actions have caused significant inconvenience and financial loss, and i seek appropriate redress for these violations.",4,Money Transfer
opened account with pen fed credit union cuna ins attempting to take money repeatly opened account with dollars just want to close account and my dollars they say they need to send security code to mail when i opened account it no longer exists please help do not want anything to do with pen fed,0,Bank Account
charges on my credit card statement was fraudulent and unauthorized //year> best buy //year> best buy //year>,1,Credit Card
"( 1 ) excess payment seems to be applied incorrectly across two loans. i have been registered for the standard excess payment allocation since graduation, //. however, a substantial fraction of excess payment has been applied to the principal of the lower-interest rate loan for several months. numerical context : - autopaying $ /mo since //. - total scheduled monthly payment is $ /mo. - one loan with period beginning //, disbursed $ @ 5.96 % fixed, according to nslds student data extract ( not available from great lakes or from master promissory note ) scheduled monthly payment is {$43.00}. - one loan with period beginning //, disbursed $ @ 5.59 % fixed, according to nslds student data extract ( not available from great lakes or from master promissory note ) scheduled monthly payment is {$280.00}. the scheduled monthly payments by individual loan seem like they might be reversed. regardless, assuming they are correct, the changes to the individual loan balances - and total account balance - do not reflect the rules for applying payments to individual loans ' scheduled monthly payments first, then excess to the loan with the highest interest rate. ( 2 ) servicer claims that statements prior to // can not be provided. i have bank statements showing transactions paid out to loan servicer monthly in // - // and every month after. having these statements will be important for verifying that early payments were applied correctly. actions taken : * set up spreadsheet model of monthly payments to trace calculation in statements provided online by great lakes. confirmed monthly interest figures within a few dollars ( possibly related to date alignment ), but totally unable to reproduce reported changes to statement balances resulting from excess payments using loan terms, including master promissory note and my nslds student data records. * contacted great lakes call center to inquire about ( 2 ) and ( 1 ). initial representative was unable to explain ( 1 ) and admitted he had no idea how to justify from my records, and asserted that statements were not generated for account status before // and therefore not retrievable. requested to speak to supervisor. supervisor asserted that a "" split factor '' applied to individual loans made within the account when scheduled monthly payment is applied. supervisor refused to provide "" split factor '' and insisted that it was possibly available in master promissory note, but would not identify where it is derived. in fact, it is not available in master promissory note. if i use the scheduled monthly payment amounts for each year 's loan individually, provided in nslds student data record download ( mystudentdata.txt ), i still find overpayments towards the low-interest loan. * contacted nslds by phone. was advised that cfpb was involved in litigation against another student loan servicer for similar behavior towards borrowers repaying loans early, and recommended i contact cfpb.",8,Student loan
"on or around //year> i applied for financing with easy pay finance using my business 's : . i was subsequently approved. at no point during the application process did i provide or authorize the use of my personal social security number for this credit application. it has come to my attention that easy pay finance has seemingly attached this approval and the resulting debt to my social security number. this is incorrect and unauthorized. my business operates under the aforementioned , and all credit applications were intended to be associated with that identifier.",3,Debt collection
"this cfpb complaint has been filed to request pursuant to fcra 605b ( 15. u. s. c. 1681c2 ) that you, the experian credit reporting agencys block the information appearing on my consumer credit report that is the result of identity theft, and fraud within four business days of you receiving this complaint. this fraudulent, inaccurateand false information consist of personal credit card accounts, auto loans, personal loansand open end unsecured consumer accounts as follows : inquiries : date : /24",2,Credit Reporting
"chase bank reported me to the credit bureaus for a missed {$5.00} missed payment. i have been a customer of chase for 11 years and never use this card. when i receive notification through my credit monitoring service that chase reported me for this missed payment i immediately paid it and attempted to speak with a chase representative to have this taken off my credit report. i had no idea i had a missed payment because this card is so rarely used, and have never had a missed payment with chase before this. they refused to remove this from my credit report, despite the fact that it lowered my credit score by 78 points.",3,Debt collection
"in // during the financial crisis we left owing a balance to citi bank. we received notice and agreed to repay the amount of {$1100.00} in monthly installments. the last payment in // of plus dollars. last week i received a 1099c of discharged debt which i should file to the irs. my problem is not with the debt but the bookkeeping first it was on their books as a debt then my payments should have been a collection. next they carried it as an accounts receivable for 6 years now they are charging it off as a loss. my account is a drop in the bucket. however, if you multiply this by maybe 200,000 customers the bucket is full. the books are cooked. how many people after 6 years and all the financial turmoil caused by these banks can prove out the repayment and if you do get an amended 1040c after a lot of trouble are they going to report the income. they remind me of . charge a lot of people a little and you have millions. please look into this. a copy is being sent to my senators office.",3,Debt collection
"on or about 2015, i noticed while checking a copy of my credit report, a charge for a line of credit that i did not request. the company was "" '' financed by "" '' and the amount was {$1300.00}. i immediately contacted and all three credit reporting bureaus and informed them in writing via certified mail of this error. it is important to mention that up until this time, they did not have my mailing address and therefore had not been able to contact me. i also should mention that i have never been in a "" '' store. i clearly informed them that this was a fraudulent activity or a mistake and i requested documented proof which is my right and which they are obligated to provide at my written request according to the federal law which is governed by the "" fair credit collections act '' and the "" fair credit reporting act '' as enforced by the federal trade commission. they failed to provide any documents and continued to harass me for this debt eventually selling the debt to "" '' a collections agency. similar written requests were made with this collection agency with similar results. they have violated my rights as well by failing to show proof of the validity of this debt. they continue to harass me for this debt and are negatively effecting my credit report and fico score, again violating my legal rights. it should be clear to them of the following facts that they continue to ignore. first, the name on the original charge is "" ''. my name is "" ''. second, i reside at not . and lastly, they have refused to send me a document that i signed with my social security number and signature. why? because no such document exists.",3,Debt collection
"leased home from with co-applicant. lease term was from // through //. on //, i email company my 30 day notice to vacate. i moved out of the home //. rent was paid with balance for and //. my spouse and i were divorcing so he remained in the home and i relocated. he stayed in home until //. filed eviction and later received a judgement against me for unpaid rent and violating lease in the about of {$3400.00}. they mailed the eviction and judgement notice to the home where i had moved from 2 months prior.and i was not able to present my case along with documentation to say this eviction and judgement has been filed in error. the later sold the account to fco- fair credit and outsourcing who have added an additional {$3600.00} for what they are considering contractual damages for a total of {$7100.00}.",3,Debt collection
they guaranteed in writing i would recieve then changed their mind adding new rules and denied me after implementing my information. they have predatory advertising and are trying to harm people by lieing to get there money and time.,7,Payday or Personal Loan
"it is crucial that consumer reporting agencies uphold their grave responsibilities when it comes to the handling of consumers personal credit files. after performing a re-investigation upon my credit file for accounts ( //year> ), ( //year> ). pursuant to 15 usc 1681ia1a, your company failed to follow proper procedures in regard to correspondence to me the consumer, in the handling of the reinvestigation. as clearly outlined within, 15 usc 1681i ( 7 ) ; 15 u.s. code 1681i - procedure in case of disputed accuracy subchapter 7 states the following ; ( 7 ) description of reinvestigation procedure a consumer reporting agency shall provide to a consumer a detailed description referred to in paragraph ( 6 ) ( b ) ( iii ) by not later than 15 days after receiving a request from the consumer for that description. further outlined within 15 usc ( 6 ) ( b ) ( iii ) ; ( 6 ) notice of results of reinvestigation ( a ) in general a consumer reporting agency shall provide written notice to a consumer of the results of a reinvestigation under this subsection not later than 5 business days after the completion of the reinvestigation, by mail or, if authorized by the consumer for that purpose, by other means available to the agency. ( iii ) a notice that, if requested by the consumer, a description of the procedure used to determine the accuracy and completeness of the information shall be provided to the consumer by the agency, including the business name and address of any furnisher of information contacted in connection with such information and the telephone number of such furnisher, if reasonably available. the correspondence mentioned above was never made to me and therefore, your company is in direct violation of the fcra and is now liable for monetary damages detailed within 15 usc 1681n and 15 usc 1681o. not only was a proper reinvestigation not performed as the derogatory account mentioned is erroneous to begin with, your agency failed to follow the fcras clear rules in the handling of correspondence to me in association with the account in question. please delete this erroneous account as i have sought legal counsel in this matter and intend on seeking damages associated with this complaint if this issue is not resolved. thank you for your time.",2,Credit Reporting
see documents attached. what would be a fair resolution to this issue?,2,Credit Reporting
"i filed a dispute for incorrect information on my credit report. i received an email from the credit bureau stating that they are assuming the disputes are coming from a 3rd party. they in fact did not come from a 3rd party. l even called them to verify it was me and they still refused to process my disputes. i wasted money on mailing my disputes out. i sent personal information to verify my identity through mail, just for them to not thoroughly investigate.",2,Credit Reporting
"on //year>, i received a card stating that court papers had been served in my name. the card was left by a company identifying itself as . i attempted to research this company but was unable to find any legitimate office information online, other than the phone number listed on the card. due to this, i was concerned that the notice might be fraudulent. on //year>, i contacted to confirm whether they had authorized any collections and was given the contact information for cherrington firm. on //year>, i called cherrington firm around during this call, i inquired about the nature of the account they were referencing. the representative quoted an amount of approximately {$570.00}, which they attributed to fees. this amount was significantly higher than the original medical bill of {$140.00}. i questioned the accuracy of this information and whether any adjustments could be made, but i was told nothing further could be discussed until i was formally served. when asked if i had been served, i replied that i had not. on //year>, i submitted a written dispute via email and requested that all further communications be conducted in writing. on //year>, i received another card from claiming that legal papers had been served in my name. on //year>, i contacted multiple courthouses to check if any case had been filed under my name. each courthouse confirmed that no such case existed. on //year>, while i was not home, an individual attempted to deliver legal papers to my brother-in-law. he refused to accept them. the individual then left the papers at the separate entrance to my home that my brother-in-law uses. this entrance is not my residence or living area. despite this, the papers were left there, and it was later implied that service had been completed. upon reviewing the documents, i noted that they referenced an alleged balance and attorneys fees, but they did not contain a case number or a judges signature. on //year>, i sent a second written request for validation and a detailed breakdown of the account via certified mail. on //year>, i received a voicemail from cherrington firm requesting a return call. i responded with another email reminding them that all communications must be in writing. on //year>, i checked the court database to determine whether any filing had occurred, and again, no case was listed under my name. as of that date, i had still not received proper validation. on //year>, i received an email from cherrington firm containing what they identified as validation.",3,Debt collection
"i have sent registered mail addressed to the legal department and investor relations, which was received on //year>. i also sent an email to ir and left a message as well to follow up on my letters that was sent. i "" am giving a notice to cure with this email. i will attatched the information that has been sent with my denial of credit letters. i know that on your prospectus report where it states the way our securities are being handled as well as other information explained in my attached letter. i gave you a security on //year> and was denied. i know that my security is being sold without my knowledge and consent. i will be getting an bloomberg audit done on my applications, which turned into a security that this company developed a cusip for. i know on your sec filings its states that you do not sell securities on the market it is against the law. i know my securities has been sold and that is securities fraud, which an audit will prove that. i "" am hoping that we can settle this amicably as instructed in my letters that has been sent. i will have no option, but to file a complaint with the sec and upload my audit report and findings if there is no response by the end of day today. i have sent several emails and called several times no reply back. i sent a notice to cure as well. this is my 1st compliant on the matter and my letters that has been sent is uploaded on this report. i will also do a report with the sec and arbitration if there is not reply back.the denial was unlawful and discrimination against new applicants, which violate the equal credit opportunity act. thank you",1,Credit Card
navient was my former loan servicer and it provided me bad information regarding student loan forgiveness and me taking advantage of income drive repayment opportunities.,8,Student loan
"on //2020 i made a mobile deposit of {$2000.00}. this is a normal process for me as i make this type of deposit on a regular basis. as days went by the bills i had scheduled to pay online started to be returned to me as well as my collecting of overdraft fees. i finally called the bank today and was told that due to this time of year the fraud team is holding onto mobile deposits longer than normal this leading to these bill pay issues. i was never warned about this and, as i mentioned, never had this issue before. so now i'm told that the only way i can get my money is to bring a copy of the check to a branch manager and hope that he/she will clear it. that or wait until for it to clear. again, this has never been the case before. so, not only am i losing money to overdraft fees but td bank is holding my paycheck hostage and i can't buy presents for my children for until they decide to release it.",0,Bank Account
"my child was hit by a commercial van on //. we almost lost her, there was an extensive hospitalization. i lost my husband on // from . i was left with children ; my has and , my child was born with and . i work as a and struggle daily with the financial obligations of homeownership and medical expenses for my children.",5,Mortgage
they have called from several different numbers demanding to verify my ssn. they call continuously even on the weekends. this debt is also over ten years old. they bought this from someone else and demand that i pay them today.,3,Debt collection
"i filed whatever i can proved that i am not in the state while they open my card through capital one, but their decision still remain unchanged. what is the reason for that? look through all the transaction that they have made. its all in the state. as i mention previously. i am not in the state during that time. how am i suppose to used all that? and did you guys not check the date on all the transaction? and the time that i left the state. please check it carefully. i also filed a claim through fbi website, for internet crime. ( i have attach it below ). am i not clear enough with what happened? i do not get the point that the decision remains the same. give me a reason.",3,Debt collection
"dear cfpb : chase responded to our claim of wrong irs form ( copy b ) for // & // ( cfpb # ; # ). their letter goes : dear & : we received your request to update your loan. according to our records, the amounts reported on your form ( mortgage interest statement ) for tax years and are accurate. in , the amount of interest reported to the irs was a total of 7 months of payments including your through for a total of {$5800.00} in interest paid. your net interest payments reported to the internal revenue service ( irs ) are {$5800.00}. in , the amount of interest reported to the internal revenue service ( irs ) was a total of 12 months of payments including your through for a total of {$10000.00} in interest paid. your net interest payments reported to the internal revenue service ( irs ) are {$10000.00}. chase here are problems : ( 1 ) chase says that, in , they reported to irs that our interest was {$10000.00} ; but copy b we received says {$8800.00} see attachment ). if {$8800.00} was wrong, we must file an amendment to irs. so, we want to receive a correct form from chase. chase must be correct this time since we think that the figure should be ~ {$9900.00}. ( 2 ) chase says that, in , they reported to irs that our interest was {$5800.00} : 7-month payments for the year. this must be wrong. since we made 12-month principal payments ( which made the remaining mortgage balance {$350000.00} and current ) for the year, the interest payments must be for 12-months. we hope chase could promptly straighten up their accounting mess.",5,Mortgage
"on , 2015, i disputed whether the account listed as bank and the data legitimately belonged to me. see attached. after this information was allegedly verified by the bureau i requested what information was used to verify such in a correspondence letters. see attached. this was done with bank as well by phone. i have yet to receive any information confirming the validity of said account. this account should no longer exist on these reports .",1,Credit Card
i'm really not sure what happened. i have mailed off letters to the credit bureaus continuously and thus far i have not gotten a response. my name is filing this complaint for falsely reporting misleading information. there is no third party involved. please review the uploaded letters.,2,Credit Reporting
this company revco has put a collections record on my credit file without warning and with out any actual reason as i do not owe any money and i still have accounts with this company has purposely and maliciously ruined my credit file and dropped my credit score significantly and i do not know who they are and i have never done business with them my business with s in good standing. i want them to immediately remove this egregious error and remove my name from any public collection that they have added me too.,3,Debt collection
"hello, sorry to bother you with this but i see no other choice, being a consumer fighting a big bank with departments to defend themselves, but to file complaints against my current bank for additional insurance charges that are not warranted and was never asked for. i have a loan that begin in //2003 for an apartment/condo in . i'm the president of the condo board. back about 7 years ago they wanted insurance that covered the wall studs in, which i provided although pnc bank actual charged me but reverse it after i argued that i already had insurance covering that. now they are claiming some other bogus claim that i do not have this or that insurance. first they claimed they never received my insurance coverage proof then once they got that they came up this claim that if i turn the building upside down it covers that. what? i did some research on this years ago and banks like pnc and were being sued for forcing mortgagees to buy insurance from companies that they either owned or had some affiliation to. so, if my bank which i signed an agreement with back in //2003 decides that i need some type of insurance that they decide it should be enforceable? this sounds very corrupt and sets a bad precedence going forward. i would appreciate if you can notify them to stop trying to come up with created ways to charge me and others insurance so one of their affiliates can make money. i fully understand my insurance coverage and this is not justified and seems illegal. this is not my first run-in with pnc where they did everything to prevent me from refinancing my existing loan with them at a lower rate. thank you for your time. sincerely, loan #",5,Mortgage
"2016 a deferment of my 2016 payment was requested. state farm failed to meet their end of the obligation and get the paperwork to my residence informing me of my interest due and any other required documents. even though numerous attempts at multiple levels of the company have been made to rectify this issue, they continue to apply each payment to the month prior and mark it as a delinquent payment. this circumstance is beyond unfortunate and borders on a thorough violation of ethical standards for a corporation involving treatment of loan holders.",7,Payday or Personal Loan
"i have been trying since 2021 to have navient remove my consolidated loan information from my four credit reports agencies ( , , and ). my navient consolidated loan balance {$38000.00} was moved to and my navient account was closed/paid in full //, since the balance was transferred. then, split the consolidated loan balance into two consolidated loan balances {$15000.00} and {$23000.00} based on subsidized and unsubsidized loans, but the consolidated loan balances still = {$38000.00}. thereafter, i applied for my consolidated loans to be forgiven due to from treatment. the department of education approved my total and permanent application and my two consolidated loan balances were closed/paid in full //2021. after my consolidated loans were reported as closed/paid in full to all 4 credit reports agencies , i requested navient to please remove their consolidated loan information because it was appearing that i had double the amount of consolidated loans between navient and . although i only had {$38000.00} total in consolidsted loans, with navient and both listing the same consolidated loans it appears if i had {$77000.00} in consolidated loans instead. i have tried numerous times to try to explain this information to navient customer service, but i continue to receive the same cookie cutter responses that my navient consolidated loan is closed/paid in full with no mention and/or referencing of my concerns noted above. -- -- i have attached an example of my credit report for reference. please note my navient consolidated loan information appears the same on all four credit reports agencies.",8,Student loan
bank of america has refused to correct a mistake with my ssn when they took over my loan from . this has caused me to file incorrect ( overpaid ) federal tax returns for several years. they also reclassified the loan from va to conventional.,5,Mortgage
"i ordered a copy of my report and i found out that credit reporting agencies still indicate my dispute of items in my credit report. as of todays date, the credit bureaus have not responded to my dispute. according to the fair credit reporting act, the credit bureau must complete their investigation within 30 days.",2,Credit Reporting
"on // i received a letter from regarding the settlement and release agreement submitted to titlemax with the {$600.00} settlement payment and a new settlement agreement drafted by titlemax representatives. i questioned the new agreement and specifically clause 1 in which they were asking me to forfeit any current or future claims for compensation to which i declined as i was a party to the data breach and communicated that to . on // after no response from titlemax or it's representatives, i contacted the arbitration company and attempted to begin the arbitration/mediation process. i received a response from administrative assistant on // that i needed to contact titlemax to begin the process. on // i emailed and advised that i wanted arbitration/mediation and that titlemax must begin the process as per with . no response was received. on // i contacted again via email requesting arbitration and received no response. on // i emailed titlemax representatives , and stated that i still had not received my title or a response from any representative of titlemax or regarding the arbitration/mediation request. as of today 's date // i have still not received a response from titlemax or any of it's representation and i have not received my title or a new settlement and release document with the afore mentioned amendments.",7,Payday or Personal Loan
"and its assigned credit collecting agency, lloyd & mcdaniel plc, have done irrevocable damage to my credit, my livelihood, and my understanding of the credit system. , through its excessively aggressive collection techniques, and inability to comprehend that there is a fraudulent charge of {$20000.00} on this credit account, have refused to acknowledge that it is fraud, have attempted to collect on a debt that is not owed, that is under investigation by the indiana attorney general 's office and the federal trade commission, and is currently being dealt with by our business insurance company. at present, continues to file lawsuits, aggressively, to collect on a balance that is not owed. any balances that were owed by myself or my company have been completely rectified and i can not understand why this charade is continual. we have done everything in our power to avoid a countersuit, but it appears that this will be imminent as refuses to acknowledge my rights under the fdcpa and continues to collect on debt that is not owed to them and is subject to investigation by law enforcement authorities.",3,Debt collection
"a credit card with citibank showed up on my credit, i do not remember ever having this credit card. they have charged it off on my credit report and i recently disputed it. they have now turned it over to and is now showing up on my credit report as both citibank and . the credit report is showing the last payment made to citibank was back in of 2010.",3,Debt collection
"i am submitting this formal complaint regarding a payment i sent through bank of america that has not been received by the intended recipient, despite multiple assurances and follow-ups. date of transaction : //year> amount : {$43.00} : bank of america confirmation number : i contacted bank of america support after the transaction showed processing. i was told the funds would be delivered within hours. it has now been over a week, and the recipientwho is confirmed to be fully enrolled in still has not received the payment. this has caused unnecessary confusion and stress on both sides. bank of america has not provided clear evidence of where the funds are or which bank is responsible for the delay. i am requesting the following : 1. a full trace of where the funds are now ( confirmation of delivery, hold, or return status ). 2. an investigation case number with expected resolution timeframe. 3. if the payment failed or is stuck, a full refund or reversal of the funds sent. 4. written confirmation of what action is being taken by bank of america. if no resolution is provided promptly, i will escalate this through regulatory channels and formally dispute the transaction. please respond as soon as possible with documentation or proof of resolution. sincerely, [ ] [ ] [ ] [ bank of america account number last four digits ( )",4,Money Transfer
"first off i never missed or was late with a single payment to this company. the loan was sold to them and same is true for previous loan company. the loan was paid in full on . when i initially contacted them they stated they needed 30 days to ensure everything went through and was processed out. whatever that means. i gave them the 30 days and contacted them, i was told it was not processed, via email, and i would have to contact the title department but was given no contact email or phone. when attempting to call them i was placed on hold twice and both times disconnected. further emails went either unanswered or triggered response with no follow-up. i realize they may attempt to use the current global issues as an excuse to not do the right thing, however, would like to remind them not once did i receive any communcai0otn stating they would work with me in these troubled times. no notice from them, as i received from every other company i have financial dealings with, so to use that as an excuse would be deplorable. all i want is my title, i paid for it and was prompt with payment. they need to do the same. my email address is . this should allow them to look into this",9,Vehicle loan or lease
/12/2017 its reporting on my credit that someone checked my credit. i havent applied for any new accounts or credit cards today. it has also affected my credit score by dropping it by 3 points,2,Credit Reporting
//2021 lost wages due to covid and loss of unemployment! havent been able to pay my credit card bill. the collections representative asked me could i ask a neigbor for the money. when i told him i didnt have any he advised me that i was lying! mame your lying is what he said to me! which i really dont have neigbors. he never offered me any assistance in regards to my account! instead he just harassed me. at this point i dont want to pay them anything!,1,Credit Card
