Product,Consumer complaint narrative
Debt collection,"I went to XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX located at XXXX XXXX XXXX XXXX Texas XXXX at approximately XXXX on XX/XX/XXXX. I went in into the lab with a list from my doctor for tests to be performed. I paid in advance for the tests ordered because I do not have insurance and am on a budget. I paid for the ordered tests and had them performed. Then I received ( XX/XX/XXXX ) a bill for additional testing. I called the company and told them it was a mistake and that I had paid for all of the tests ordered in the office before they were done. XXXX then told me that the tests were "" for my health because I really didn't know any better and they were just looking out for me and I should just pay it ''. I then asked for a manager and they said someone would reach out to me soon. I received no call back about the matter and received another invoice XX/XX/XXXX. Again I called and told them the situation, but this time when I asked for a manager I was told that there were none and that they could do any additional testing they felt necessary due to the results of my current labs. They wanted to "" look more deeply into my issues for the sake of my health and I needed to contact my physician for the details ''. I called my physician and she had no idea why they would do extra testing. She only needed the ones she ordered. I got another invoice XX/XX/XXXX so I called back and demanded a manager, I was transferred after a two hour wait to someone who said they were in management but would not give me their name. She told me then that they could legally do any test that they wanted and I would be liable for the charges regardless. She also said on my receipt that it states that additional testing might be required and that was my notice. I told her I did not consent to additional test for my health and I am in a perfect state of mind to ok any additional tests. I paid for my tests ordered in office before they were done and that was that. She then informed me that she would send it automatically to my collections. I recently received an invoice from Credit Collection Services and have mailed them a dispute."
Vehicle loan or lease,2003 I signed a loan agreement with credit acceptance. I was at the end of my payments. When I fell into financial trouble. I was a week late paying the car note. The car was reprocessed while I was at work. Credit acceptance told me I had roughly XXXX dollars left to pay the car off. But I couldn't afford to pay it in the time allocated. The XXXX was sold at an auction. I was left paying the remaining balance without a vehicle.
Credit reporting or other personal consumer reports,"My name is XXXX XXXX, and I first want to thank you for taking the time to read this complaint. Ive had a great experience with CB INDIGOXXXX and my goal is to maintain the relationship weve built over the past XXXX years. I recently pulled my XXXX and XXXX credit report and discovered I have a late payment that was reported in XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XXXX XXXX for my CB INDIGO/XXXX Credit Card . XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX. I mailed CB INDIGOXXXX several letters informing them of my financial hardship at the start of the XXXX XXXX Unfortunately, the XXXX XXXX has brought unforeseen circumstances into my life. As a direct consequence of the XXXX, I lost my job, resulting in a sudden loss of income. The financial strain caused by this unexpected situation has made it increasingly difficult for me to meet my financial obligations, including making timely payments on my CB INDIGOXXXX XXXX . 

I would like to express my deepest sympathies for the lives lost and the hardships endured by individuals and communities worldwide due to this unprecedented health crisis. The XXXX XXXX has had a profound impact on all aspects of life, including the global economy and the livelihoods of countless individuals. I want to acknowledge the impact of the XXXX XXXX on individuals and families worldwide, including myself. Unfortunately, I lost my job due to the economic downturn caused by the pandemic. As a result, I faced significant financial challenges and was unable to meet my financial obligations, including my credit card payments. 

Congress passed the XXXX XXXX XXXX XXXX XXXX XXXX XXXX ( XXXX XXXX ) to minimize the impact of the XXXX XXXX and to provide relief to individuals affected by the XXXX XXXX. Under this legislation, there are provisions that protect consumers ' credit reporting during this challenging time. The XXXX XXXX requires creditors to report accounts as current if the account was current before the consumer requested an accommodation, such as a forbearance or modified payment arrangement, due to XXXX hardships. This protection is crucial for individuals like me who have experienced financial difficulties beyond our control. 

I am currently in the process of securing a mortgage, and my mortgage loan officer has advised me that removing these late payments from my credit profile would significantly enhance my creditworthiness and increase my chances of approval. For that reason, Im requesting an Accommodation under the XXXX XXXX 

I desperately need this mortgage and I would be extremely appreciative if you would please complete a UDF - Universal Data Form and fax it to the credit reporting agencies to update these late payments. 

Account Number : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX"
Checking or savings account,"I am writing to file a complaint against Navy Federal Credit Union Regarding multiple overdraft fees I have incurred. Despite having sufficient funds when transactions were authorized, I was charged fees due to the lagged posting of charges and credits. This issue aligns with the recent CFPB findings against Navy Federal for similar practices, where transactions settled with insufficient balances despite initially available funds. I believe these practices are unfair and request an investigation into my account transactions."
Mortgage,"Complaint Against : Bank of America I am filing this complaint regarding the mishandling of my mortgage application by Bank of America, which resulted in significant financial risk, stress, and disruption to a time-sensitive real estate transaction. 

From the beginning of the process, I acted in full good faith and complied promptly with every request made by the bank. I provided all required documentation, often within the same day it was requested. Despite this, I was repeatedly asked to resubmit documents that had already been provided, sometimes days later, indicating a lack of internal coordination and proper file management. 

I was explicitly told that all communication and updates would be handled through the Home Loan Navigator portal. However, this process was inconsistent and unreliable. My calls and emails frequently went unanswered, and I was not provided with timely or transparent updates regarding the status of my loan. 

Based on the banks representations and continued requests for documentation, I reasonably relied on the expectation that my loan was progressing toward approval. As a result, I moved forward with a time-sensitive property purchase and committed substantial funds into escrow. 

During the process, I was informed that the property would be classified as an investment property rather than a primary residence, which would increase my closing costs by approximately {$3000.00}. Although I disagreed with this classification, as I intended to live in the property due to work requirements, I nonetheless agreed to the additional cost in order to proceed. 

After waiting several days for an update, I received an unexpected phone call informing me that my loan was denied due to my debt-to-income ratio. This explanation was both abrupt and contradictory. Early in the process, I had already been informed that my debt-to-income ratio would require a higher down payment, and I clearly stated that I was willing and able to meet that requirement. I asked for the specific amount needed and confirmed that I would provide those additional funds. 

Given that these issues had already been identified and addressed, it is unclear why they were later used as the basis for denial without any further communication, clarification, or opportunity to proceed. I did not receive a formal written explanation at the timeonly a brief and unexpected phone call. 

I have previously held and paid off a mortgage with Bank of America, maintain excellent credit, and was told I would be treated as a preferred client. The handling of my application fell significantly below reasonable standards and demonstrated a lack of transparency, accountability, and professionalism. 

The banks delay, shifting requirements, and failure to properly communicate underwriting concerns caused me to proceed under false expectations, resulting in avoidable financial exposure. 

I am requesting : A detailed written explanation of the reason for denial, including what specifically changed during underwriting. 
A full timeline of my application, including when key decisions were made. 
A formal review of the handling of my file, including repeated document requests, failure to communicate, and deviation from stated communication channels. 
Appropriate remediation for the financial impact caused by my reliance on the banks actions and timeline. 

I believe Bank of Americas handling of this matter was negligent and caused avoidable harm. I am seeking accountability and a formal response."
Credit card or prepaid card,Good Afternoon I get credit card with barclaycardus bank in  XXXX   2017 with  0 % introductory APR for the first fifteen billing cycles after the account is opened. and they started charging me fee in  XXXX     2017 I   tried to solve this issue with the bank and they are not able to help me link below :   XXXX   XXXX   XXXX   XXXX   XXXX
Consumer Loan,"I refinanced my car with Flagship over a year ago, I went through the application process and sent you all the information required and you in return paid my loan with XXXX XXXX. My first car payment was not due until early 2016. During that time I was told that I could only change my due date only once and it will remain the same through the life of the loan. I did change the due date to the XXXX to accommodate my pay schedule. After I made that change my company decided to change our pay periods without giving us notice. I called customer service to have the due date changed to accommodate my new pay schedule, the representative said I had already changed it and I could not change it again. 

Now my issue with your company is that first I did not receive a copy of the contract that I signed and I have been unsuccessful in obtaining that. Second, I feel that a customer should be given the courtesy to change there due date at least once time a year but your policy does not allow that. Third, I am getting charged late fee every month when I make my car payment and no one in your customer service department has not been able to explain what amount I am being charged.I cant afford to keep paying late fees plus my regular car payment. I explained to the rep I can make my car payment on the XXXX of the month and she told me that would be noted. I am continually getting up to XXXX customer service calls a day from your company and they are the most disrespectful human beings I have ever encountered. I trust this is not the way your awful company conducts business with valued customers. 

I am completely mortified with your companies polices, bad customer service and the interest and late fees. I regret ever refinancing my car with your company. I never had these problems with XXXX XXXX."
"Money transfer, virtual currency, or money service",I have had a few instances where my account was having some unauthorized transactions and funds taken from my account. I contacted the cashapp support team but never received a solution or my funds back.
Checking or savings account,My XXXX XXXXXXXX XXXX direct deposit was deposited on XX/XX/year> for {$700.00}. My account was restricted right away and they said they were returning the money to the sender. Now almost five years later my account is still restricted and my money has been gaining interest its now {$750.00}. Ive tried to have them unrestrict my account or at least close it to no avail. Isnt there a legal time limit a bank can hold the funds like this for this long.
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX XXXX is incorrectly reporting to my credit. They have report my car payments late 7 times. When I in fact was not late and I have the proof that I wasnt late. My payments are due on the XXXX of every month but 7 different times when I paid on the XXXX they marked my payments as late and reported it to the credit bureaus. I made them mail me copies of my payment history. These are the dates they marked late but I have proof I wasnt late. XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX XX/XX/XXXX, XX/XX/XXXX. I want these 7 payments credited to my account as made on time and I want the adjustment made with the credit bureaus. I also want the fees associated with these late payment removed because I wasnt late."
Credit reporting or other personal consumer reports,"Consumer Name : XXXX XXXX, Consumer Social Security Number : XXXX, Consumer Date of Birth : XX/XX/XXXX, Contents of Complaint : This CFPB complaint has been filed to request pursuant to FCRA 605B ( 15 U.S.C. 1681c-2 ) that you, the XXXX  credit reporting agency , block information appearing on my consumer credit report that is the result of identity theft and fraud within 4 business days of you receiving this complaint. This fraudulent, inaccurate, and false information consists of a personal credit card account opened at XXXX  XXXX on XX/XX/XXXX under the account number XXXX and a collections account opened at XXXX XXXX on XX/XX/XXXX with a balance of {$0.00} that appears related to the aforementioned personal loan account opened at XXXX XXXX XXXX XXXX. These accounts have resulted in several fraudulent hard inquiries and fraudulent collections appearing on my consumer FICO credit report. I've attached a list of the hard inquiries in question as well as a copy of the consumer FICO credit report maintained by you which shows the aforementioned fraudulent items. I do not recognize the aforementioned accounts, collections, or hard inquiries as reported. The aforementioned accounts, collections, and hard inquiries appearing on my consumer credit report maintained by you were not opened, made, or initiated by me. All of the aforementioned accounts, collections, and hard inquiries are the result of identity theft and fraud. I have attached a copy of FTC Identity Theft Criminal Complaint # ( private case number ) as proof from the US Federal Trade Commission that all of the aforementioned consumer credit accounts, collections, and hard inquiries are the result of identity theft and fraud."
Debt collection,"I am writing to formally dispute and address the ongoing issue of an erroneous debt appearing on my consumer report, which I believe is a result of identity theft. Despite my efforts to resolve this matter, the debt remains on my report, and this has caused significant stress and harm to my livelihood and reputation. 

I have followed the proper procedures to dispute this debt and provided the credit reporting agencies ( CRAs ) with comprehensive documentation, including : An FTC Identity Theft Report. 
A signed 605B letter explaining my situation.

A copy of my government-issued ID.

A recent utility bill to verify my address. 
A copy of my Social Security card. 
I sent these documents via certified mail in XXXX separate submissions to ensure their receipt. Despite this, the CRAs have not removed the erroneous debt from my report. Furthermore, they previously responded to my dispute by stating that the debt was "" verified, '' yet I do not understand how they could have verified an account that is not mine. I was never a co-applicant on this account and have not authorized anyone to use my personal information in this capacity. 

As a result of this unresolved error, I have faced : Denial of housing opportunities, including being rejected for an apartment application. 
Significant XXXX  and XXXX  to my quality of life. 
Damage to my reputation due to the presence of this inaccurate information. 
This situation has become untenable, and I am requesting immediate action to remove this erroneous debt from my consumer report. I have provided all required documentation to prove that this debt is not mine and that I am a victim of identity theft. I urge the credit reporting agencies to comply with the Fair Credit Reporting Act ( FCRA ) and take the necessary steps to correct this error promptly."
Credit reporting or other personal consumer reports,The existence of a derogatory rating on my account is causing me significant concern. I am deeply worried about its potential impact on my credit. It has already resulted in the denial of a recent loan application and an increase in the interest rates on my existing credit accounts. I want to emphasize the severe financial and emotional distress that this negative rating has caused me and will continue to cause until it is resolved.
Credit card,"in XX/XX/2023 I reported that my credit cards and bank account were hacked and that there were multiple transactions were made by someone else. I also informed them that I could not pay my bills because thousands were taken from my account. In addition, I have been texting this company because in spite of me telling them this, they were expecting me to make a minimum payment of {$1000.00} which is extremely high because of the fraud charges. I was told I had to make the minimum payment which I could not afford they refused to budge or provide proof that all the charges were all mine. this issue remains unresolved and they continue to report negatively to the credit bureaus"
Credit reporting or other personal consumer reports,"I am a victim of a data breach, and I am writing to formally request the immediate blocking and deletion of the fraudulent accounts listed below from my credit report. These accounts were added without my knowledge or consent, and as such, they are the result of identity theft. Under the provisions of 15 USC 1681c-2 ( a ) and FCRA 605 ( b ), I am entitled to have these fraudulent accounts blocked and removed from my credit file. 
Fraudulent Accounts : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX"
Credit reporting or other personal consumer reports,"This inquiry is not mine, and it's clearly fraudulent. I have no knowledge of these inquiries and request immediate action to address them. Please see the attached documents for reference."
Debt collection,"I am filing this complaint against XXXX XXXX regarding an alleged debt they claim I owe. I have sent them a formal debt validation request dated XX/XX/year> under the FDCPA ( 15 U.S.C. 1692g ) requesting the following : Name of original creditor Complete itemization of the debt Copy of the original contract Legal authority to collect in my state Chain of assignment They have failed to provide any of the required documentation and continue to report this unverifiable debt to credit bureaus. This is a clear violation of the FDCPA and FCRA. 

I request the CFPB take action and direct the company to provide full documentation or cease all collection and credit reporting activity. Attached is my validation letter and proof of mailing."
Checking or savings account,"As an XXXX XXXX business owner, I have been treated unfairly by Regions Bank due to a lack of direct communication and understanding of my situation. 
My Story! I and my wife XXXX have had XXXX business with the State of Florida. 
as Independent company 's. During the time with the State we employed XXXX employees XXXX under the 1099 employment and 7 office staff. When Coved hit us we were unable to communicate with the Florida offices due to closing, having staff work from home. 
We lost our staff, My wife and I took over however It became to much and we closed both companies in XX/XX/year>, On top of that owing a XXXX XXXX building with XXXX rental offices and just going through the two worst storms we have received so much damage that we have lost all our Tennent 's. No Income. Except SS. 
When I was a young man in the late forties an fifties we were taught to save cash for a rainy day. That has been the road I have followed during my entire working life. Know that I am with out enough income to meet my current monthly Mortgage on the office building and home I have been using my cash saving to meet the bills. Apparently the bank thinks I am washing money and have closed my XXXX accounts with out a work why. 
Would you please investigate whether the bank 's actions are consistent with fair treatment under the law, especially considering my age, situation, and the fact that I have been depositing legitimate savings and earnings, not illicit money. 
I would like Protection : With expressing my belief that older adults should be protected from unfair treatment in financial matters, especially when i comes to matters of cash deposits tied to real-world circumstances like business losses and personal hardship."
"Credit reporting, credit repair services, or other personal consumer reports","I am a victim of identity theft/fraud. I have notified the collection agencies/original creditors several times that the accounts do not belong to me. I have not in any way received goods or services from these companies and I have provided my police reports, my FTC id theft affidavit signed and notarized along with my sworn statement regarding the fraudulent accounts. Documents have been submitted to all credit bureaus."
Credit reporting or other personal consumer reports,"This CFPB complaint has been filed to request pursuant to FCRA 605B ( 15 U.S.C. 1681c-2 ) that you, the TransUnion, Experian and Equifax credit reporting agency , remove information appearing on my consumer credit report that is the result of identity theft and fraud within 4 business days of you receiving this complaint. This fraudulent, inaccurate, and false information consists of a personal credit card account opened at XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX These items have resulted in several fraudulent hard inquiries and fraudulent collections appearing on my consumer FICO credit report. I've attached a list of the hard inquiries in question as well as a copy of the consumer FICO credit report maintained by you which shows the aforementioned fraudulent items. I do not recognize the aforementioned accounts, collections, or hard inquiries as reported. The aforementioned accounts, collections, and hard inquiries appearing on my consumer credit report maintained by you were not opened, made, or initiated by me. All of the aforementioned accounts, collections, and hard inquiries are the result of identity theft and fraud. I have attached a copy of FTC Identity Theft Criminal Complaint XXXX as proof from the US Federal Trade Commission that all of the aforementioned consumer credit accounts, collections, and hard inquiries are the result of identity theft and fraud."
Vehicle loan or lease,"I received an auto loan from Professional Financial Services in XXXX of 2022. I got the vehicle from XXXX XXXX XXXX. At that time I was never informed that I was able to rescind my contract, if I found anything wrong or false in the contract or if I'm unhappy with the vehicle. I was also told that I was required to pay a down-payment to drive off the lot with the vehicle. I also never received a full sales contract detailing this "" consumer credit transaction ''. I have asked numerous times for a contract so I can thoroughly review it in detail, and I have gotten nothing but harrasing phone calls when they want me to make a car payment."
Checking or savings account,I reported my card stolen and now Citibank is refusing to issue me a virtual card or expedited option. I can not access my own funds during a time of crisis. Their representative stated escalating to a supervisor would not help. Im unable to pay critical bills and they refuse to assist. This is a financial hardship they are actively worsening
Debt collection,"I think FCRA 605B requires us to remove any incorrect accounts from my credit report. Could you please check the documents? Some of the listed accounts are inaccurate, and it's making me feel uneasy."
Student loan,"Product : Student Loan Company : Nelnet Issue Type : Incorrect information on credit report / Billing & payment errors Consumer Role : Borrower Complaint Narrative My federal student loans serviced by Nelnet were forgiven in full effective XX/XX/XXXX under the U.S. Department of Educations Income-Driven Repayment ( IDR ) account adjustment, as confirmed in writing by Nelnet.

Despite this documented forgiveness : Nelnet is reporting a past-due balance of {$1600.00} on my credit report No loans are marked Paid in Full, Closed, or Discharged Nelnet has failed to clearly identify which specific loans were forgiven Accrued interest appears to have been improperly retained and reported after forgiveness For context : My original total balance was approximately {$42000.00} In XX/XX/XXXX, the balance dropped to approximately {$30000.00} Nelnets forgiveness notice reflects approximately {$14000.00} forgiven The remaining reported past-due amount does not reconcile with the forgiveness determination Nelnets written notice states that my loans were forgiven in full and that they have notified or will notify all national credit bureaus. Continued reporting of a past-due balance after the effective forgiveness date is factually inaccurate and is causing ongoing credit harm.

I have formally disputed this matter with Nelnet and the credit bureaus and provided documentation of forgiveness. Nelnet has not corrected the account or provided a loan-level reconciliation."
Credit reporting or other personal consumer reports,The personal information on my credit report were outdated.
